!Clamp R On && ! Active eCall On && !RST	!Clamp R On && ! Active eCall On && !RST
% Tastverhaeltnis	% duty cycle
% Tastverhältnis	% duty cycle
P1145 Magnetventil Running Losses Ansteuerung - elektrischer Fehler	P1145 Running losses solenoid valve actuation - electrical fault
P1146 Magnetventil Running Losses Ansteuerung - Leitungsunterbrechung	P1146 Running losses solenoid valve actuation - open circuit
P1147 Magnetventil Running Losses Ansteuerung - Input niedrig	P1147 Running losses solenoid valve actuation - input low
P1148 Magnetventil Running Losses Ansteuerung - Input hoch	P1148 Running losses solenoid valve actuation - input high
P1149 Lambdasonde Aktivitätsüberprüfung (Bank 2, nach Katalysator) - Signal zu hoch	P1149 Oxygen sensor activity check (bank 2, downstream of catalytic converter) - signal too high
P1150 Lambdasonde Aktivitätsüberprüfung (Bank 2, nach Katalysator) - Signal zu niedrig	P1150 Oxygen sensor activity check (bank 2, downstream of catalytic converter) - signal too low
P1151 Lambdasonde Heizungschaltkreis (Bank 2, vor Katalysator) - Signal sporadisch	P1151 Oxygen sensor heater circuit (bank 2, upstream of catalytic converter) - signal intermittent
P1152 Lambdasonde Heizungschaltkreis (Bank 2, vor Katalysator) - Spannung niedrig	P1152 Oxygen sensor heater circuit (bank 2, upstream of catalytic converter) - voltage low
P1153 Lambdasonde Heizungschaltkreis (Bank 2, vor Katalysator) - Spannung hoch	P1153 Oxygen sensor heater circuit (bank 2, upstream of catalytic converter) - voltage high
P1154 Differenzdrucksensor Saugrohr (Bank 2) - Input hoch	P1154 Differential pressure sensor intake manifold (bank 2) - input high
P1155 Lambdasonde Heizungschaltkreis (Bank 2, nach Katalysator) - Signal sporadisch	P1155 Oxygen sensor heater circuit (bank 2, downstream of catalytic converter) - signal intermittent
P1156 Lambdasonde Heizungschaltkreis (Bank 2, nach Katalysator) - Spannung niedrig	P1156 Oxygen sensor heater circuit (bank 2, downstream of catalytic converter) - voltage low
P1157 Lambdasonde Heizungschaltkreis (Bank 2, nach Katalysator) - Spannung hoch	P1157 Oxygen sensor heater circuit (bank 2, downstream of catalytic converter) - voltage high
P1158 Gemischregelung Adaption additiv pro Zeit (Bank 1) - zu klein	P1158 Mixture control adaptation additive per time (bank 1) - too small
P1159 Gemischregelung Adaption additiv pro Zeit (Bank 1)  - zu groß	P1159 Mixture control adaptation additive per time (bank 1) - too large
P1160 Gemischregelung Adaption additiv pro Zeit (Bank 2)  - zu klein	P1160 Mixture control adaptation additive per time (bank 2) - too small
P1161 Gemischregelung Adaption additiv pro Zeit (Bank 2)  - zu groß (M52: Motoröltemperaturfühler - Fehlfunktion)	P1161 Mixture control adaptation additive per time (bank 2) - too large (M52: engine oil temperature sensor - malfunction)
P1162 Gemischregelung Adaption additiv pro Zündung (Bank 1)  - zu klein	P1162 Mixture control adaptation additive per ignition (bank 1) - too small
P1163 Gemischregelung Adaption additiv pro Zündung (Bank 1) - zu groß	P1163 Mixture control adaptation additive per ignition (bank 1) - too large
P1164 Gemischregelung Adaption additiv pro Zündung (Bank 2) - zu klein	P1164 Mixture control adaptation additive per ignition (bank 2) - too small
P1165 Gemischregelung Adaption additiv pro Zündung (Bank 2) - zu groß	P1165 Mixture control adaptation additive per ignition (bank 2) - too large
P1166 Lambdasonden vertauscht	P1166 Oxygen sensors swapped
P1167 Lambdasonde Heizereinkopplung (Bank 1, vor Katalysator) - Signal zu hoch	P1167 Oxygen sensor heater coupling (bank 1, upstream of catalytic converter) - signal too high
P1168 Gemischfeinregelung (Bank 1) - Regler Korrekturwert über Schwellwert	P1168 Mixture fine control (bank 1) - controller correction value above threshold
P1169 Lambdasonde Heizereinkopplung (Bank 2, vor Katalysator) - Signal zu hoch	P1169 Oxygen sensor heater coupling (bank 2, upstream of catalytic converter) - signal too high
P1170 Gemischfeinregelung (Bank 2) - Regler Korrekturwert über Schwellwert	P1170 Mixture fine control (bank 2) - controller correction value above threshold
P1171 Umgebungsdrucksensor, Variantenerkennung - Wert im Bootbereich unplausibel	P1171 Ambient pressure sensor, variant detection - value implausible in boot range
P1172 Umgebungsdrucksensor, Variantenerkennung - Fehlerwert im Bootbereich abgelegt	P1172 Ambient pressure sensor, variant detection - fault value stored in boot range
P1173 Umgebungsdrucksensor, Variantenerkennung - Lernen fehlgeschlagen	P1173 Ambient pressure sensor, variant detection - learning failed
P1174 Gemischregelung Adaption additiv pro Zeit (Bank 1) - Fehlfunktion	P1174 Mixture control adaptation additive per time (bank 1) - malfunction
P1175 Gemischregelung Adaption additiv pro Zeit (Bank 2) - Fehlfunktion	P1175 Mixture control adaptation additive per time (bank 2) - malfunction
P1176 Lambdasondenalterung (Bank 1) - Zeitverzögerung	P1176 Oxygen sensor aging (bank 1) - time delay
P1177 Lambdasondenalterung (Bank 2) - Zeitverzögerung	P1177 Oxygen sensor aging (bank 2) - time delay
P1178 Lambdasonde Signalkreis (Bank 1, vor Katalysator) - Sprungzeit fett nach mager langsame Reaktion	P1178 Oxygen sensor signal circuit (bank 1, upstream of catalytic converter) - rich-to-lean transition time slow response
P1179 Lambdasonde Signalkreis (Bank 2, vor Katalysator) - Sprungzeit fett nach mager langsame Reaktion	P1179 Oxygen sensor signal circuit (bank 2, upstream of catalytic converter) - rich-to-lean transition time slow response
P1180 Lambdasonde Signalkreis (Bank 1, nach Katalysator) - Sprungzeit fett nach mager langsame Reaktion	P1180 Oxygen sensor signal circuit (bank 1, downstream of catalytic converter) - rich-to-lean transition time slow response
P1181 Lambdasonde Signalkreis (Bank 1, nach Katalysator) - Sprungzeit fett nach mager langsame Reaktion	P1181 Oxygen sensor signal circuit (bank 1, downstream of catalytic converter) - rich-to-lean transition time slow response
P1182 Lambdasonde (Bank 1, nach Katalysator) - Leitungsunterbrechung bei Schubabschaltung	P1182 Oxygen sensor (bank 1, downstream of catalytic converter) - open circuit during overrun fuel cutoff
P1183 Lambdasonde (Bank 2, nach Katalysator) - Leitungsunterbrechung bei Schubabschaltung	P1183 Oxygen sensor (bank 2, downstream of catalytic converter) - open circuit during overrun fuel cutoff
P1184 Beheizte Lambdasonde Spannungshub (Bank 1, vor Katalysator) - elektrischer Fehler	P1184 Heated oxygen sensor voltage swing (bank 1, upstream of catalytic converter) - electrical fault
P1185 Beheizte Lambdasonde Spannungshub (Bank 2, vor Katalysator) - elektrischer Fehler	P1185 Heated oxygen sensor voltage swing (bank 2, upstream of catalytic converter) - electrical fault
P1186 Lambdasonde Heizungsschaltkreis (Bank 1, nach Katalysator) - Fehlfunktion	P1186 Oxygen sensor heater circuit (bank 1, downstream of catalytic converter) - malfunction
P1187 Lambdasonde Heizungsschaltkreis (Bank 2, nach Katalysator) - Fehlfunktion	P1187 Oxygen sensor heater circuit (bank 2, downstream of catalytic converter) - malfunction
P1188 Gemischaufbereitung am Regelanschlag (Bank 1, vor Katalysator) - Fehlfunktion	P1188 Mixture control at control limit (bank 1, upstream of catalytic converter) - malfunction
P1189 Gemischaufbereitung am Regelanschlag (Bank 2 , vor Katalysator) - Fehlfunktion	P1189 Mixture control at control limit (bank 2, upstream of catalytic converter) - malfunction
P1190 Gemischregelung (Bank 1, vor Katalysator) - Fehlfunktion	P1190 Mixture control (bank 1, upstream of catalytic converter) - malfunction
P1191 Gemischregelung (Bank 2, vor Katalysator) - Fehlfunktion	P1191 Mixture control (bank 2, upstream of catalytic converter) - malfunction
P1192 Gemischfeinregelung (Bank 1, nach Katalysator) - Fehlfunktion	P1192 Mixture fine control (bank 1, downstream of catalytic converter) - malfunction
P1193 Gemischfeinregelung (Bank 2, nach Katalysator) - Fehlfunktion	P1193 Mixture fine control (bank 2, downstream of catalytic converter) - malfunction
P1194 Differenzdrucksensor Saugrohr (Bank 2) - Offset	P1194 Differential pressure sensor intake manifold (bank 2) - offset
P1195 Differenzdrucksensor Saugrohr (Bank 2) - Druck Plausibilitätsfehler	P1195 Differential pressure sensor intake manifold (bank 2) - pressure plausibility fault
P1196 Differenzdrucksensor Saugrohr (Bank 2) - Input niedrig	P1196 Differential pressure sensor intake manifold (bank 2) - input low
P1197 Differenzdrucksensor Saugrohr (Bank 1) - Input hoch	P1197 Differential pressure sensor intake manifold (bank 1) - input high
P1198 Differenzdrucksensor Saugrohr (Bank 1) - Input niedrig	P1198 Differential pressure sensor intake manifold (bank 1) - input low
P1199 Differenzdrucksensor Saugrohr (Bank 1) - Druck Plausibilitätsfehler	P1199 Differential pressure sensor intake manifold (bank 1) - pressure plausibility fault
P1200 Gemischregelung oberer Adaptionsbereich (Bank 1) - System zu mager	P1200 Mixture control upper adaptation range (bank 1) - system too lean
P1201 Gemischregelung oberer Adaptionsbereich (Bank 1) - System zu fett	P1201 Mixture control upper adaptation range (bank 1) - system too rich
P1202 Gemischregelung oberer Adaptionsbereich (Bank 2) - System zu mager	P1202 Mixture control upper adaptation range (bank 2) - system too lean
P1203 Gemischregelung oberer Adaptionsbereich (Bank 2) - System zu fett	P1203 Mixture control upper adaptation range (bank 2) - system too rich
P1204 Lambdasonde (Bank 1, nach Katalysator) Volllastprüfung - Signal zu niedrig	P1204 Oxygen sensor (bank 1, downstream of catalytic converter) full load test - signal too low
P1205 Lambdasonde (Bank 2, nach Katalysator) Volllastprüfung - Signal zu niedrig	P1205 Oxygen sensor (bank 2, downstream of catalytic converter) full load test - signal too low
P1206 Saugstrahlpumpe Absperrventil - Input niedrig	P1206 Suction jet pump shut-off valve - input low
P1207 Saugstrahlpumpe Absperrventil - Input hoch	P1207 Suction jet pump shut-off valve - input high
P1208 Saugstrahlpumpe Absperrventil - Leitungsunterbrechung	P1208 Suction jet pump shut-off valve - open circuit
P1209 Saugstrahlpumpe Absperrventil - Plausibilitätsfehler	P1209 Suction jet pump shut-off valve - plausibility fault
P120A Kurbelgehäuseentlüftung Diagnoseventil - Input hoch	P120A Crankcase ventilation diagnostic valve - input high
P120B Kurbelgehäuseentlüftung Diagnoseventil - Input niedrig	P120B Crankcase ventilation diagnostic valve - input low
P120C Kurbelgehäuseentlüftung Diagnoseventil - Leitungsunterbrechung	P120C Crankcase ventilation diagnostic valve - open circuit
P120D Kurbelgehäuseentlüftung Entlüftungsschlauch - nicht angeschlossen / defekt	P120D Crankcase ventilation vent hose - not connected / defective
P1210 Lambdasonde (Bank 1, vor Katalysator) - begrenzter Spannungshub	P1210 Oxygen sensor (bank 1, upstream of catalytic converter) - limited voltage swing
P1211 Lambdasonde (Bank 2, vor Katalysator) - begrenzter Spannungshub	P1211 Oxygen sensor (bank 2, upstream of catalytic converter) - limited voltage swing
P1212 Abgasrückführsteller - Input hoch	P1212 Exhaust gas recirculation actuator - input high
P1213 Abgasrückführsteller - Input niedrig	P1213 Exhaust gas recirculation actuator - input low
P1214 Kraftstoffpumpe - Drehzahl zu hoch	P1214 Fuel pump - speed too high
P1215 Kraftstoffpumpe - Drehzahl zu niedrig	P1215 Fuel pump - speed too low
P1216 Kraftstoffpumpe - Notlauf	P1216 Fuel pump - limp-home mode
P1217 Kraftstoffpumpe - Übertemperatur	P1217 Fuel pump - overtemperature
P1218 Drosselklappenpotentiometer 1 (Bank 2) - Fehlfunktion oder Leitungsunterbrechung	P1218 Throttle valve potentiometer 1 (bank 2) - malfunction or open circuit
P1219 Drosselklappenpotentiometer 1 (Bank 2) - Meßbereichs- oder Leistungsproblem	P1219 Throttle valve potentiometer 1 (bank 2) - range/performance problem
P1220 Drosselklappenpotentiometer 1 (Bank 2) - Input niedrig	P1220 Throttle valve potentiometer 1 (bank 2) - input low
P1221 Pedalwertgeber 2 - Meßbereichs- oder Leistungsproblem	P1221 Accelerator pedal sensor 2 - range/performance problem
P1222 Pedalwertgeber 2 - Input niedrig	P1222 Accelerator pedal sensor 2 - input low
P1223 Pedalwertgeber 2 - Input hoch	P1223 Accelerator pedal sensor 2 - input high
P1224 Pedalwertgeber 1 und 2 - Meßbereichs- oder Leistungsproblem	P1224 Accelerator pedal sensor 1 and 2 - range/performance problem
P1225 Drosselklappenpotentiometer 1 (Bank 2) - Input hoch	P1225 Throttle valve potentiometer 1 (bank 2) - input high
P1226 Drosselklappe - Fehlfunktion (Klappenfehlfunktion)	P1226 Throttle valve - malfunction (valve malfunction)
P1227 Drosselklappenpotentiometer 2 (Bank 2) - Meßbereichs- oder Leistungsproblem	P1227 Throttle valve potentiometer 2 (bank 2) - range/performance problem
P1228 Drosselklappenpotentiometer 2 (Bank 2) - Input niedrig	P1228 Throttle valve potentiometer 2 (bank 2) - input low
P1229 Drosselklappenpotentiometer - Adaptionsfehler	P1229 Throttle valve potentiometer - adaptation error
P1230 Kraftstoffpumpen-Relais Primärkreis - Fehlfunktion	P1230 Fuel pump relay primary circuit - malfunction
P1231 Kraftstoffpumpe 2 - Signal niedrig	P1231 Fuel pump 2 - signal low
P1232 Kraftstoffpumpe 2 - Signal hoch	P1232 Fuel pump 2 - signal high
P1233 Kraftstoffpumpe 2 - Signal sporadisch	P1233 Fuel pump 2 - signal intermittent
P1234 Kraftstoffpumpen-Relais Primärkreis - Input niedrig	P1234 Fuel pump relay primary circuit - input low
P1235 Drucksensor Saugrohr vor Kompressor - Input sporadisch	P1235 Pressure sensor, intake manifold upstream of compressor - input intermittent
P1236 Kraftstoffpumpen-Relais Primärkreis - Input hoch	P1236 Fuel pump relay primary circuit - input high
P1237 Drucksensor Saugrohr vor Kompressor - Input niedrig	P1237 Pressure sensor, intake manifold upstream of compressor - input low
P1238 Drucksensor Saugrohr vor Kompressor - Input  hoch	P1238 Pressure sensor, intake manifold upstream of compressor - input high
P1239 Drucksensor Saugrohr vor Kompressor - Input zu niedrig bei stehendem Motor	P1239 Pressure sensor, intake manifold upstream of compressor - input too low with engine stopped
P1240 Drucksensor Saugrohr vor Kompressor - Input zu niedrig im Leerlauf	P1240 Pressure sensor, intake manifold upstream of compressor - input too low at idle
P1241 Drucksensor Saugrohr vor Kompressor - Input zu niedrig bei Volllast bei niedriger Motordrehzahl	P1241 Pressure sensor, intake manifold upstream of compressor - input too low at full load at low engine speed
P1242 Drucksensor Saugrohr vor Kompressor - Input zu hoch bei Schub	P1242 Pressure sensor, intake manifold upstream of compressor - input too high on overrun
P1243 Drosselklappenpotentiometer 2 (Bank 2) - Input hoch	P1243 Throttle valve potentiometer 2 (bank 2) - input high
P1244 Kraftstoffpumpe - Notabschaltung	P1244 Fuel pump - emergency shutoff
P1245 Ladelufttemperaturfühler - Input hoch	P1245 Charge air temperature sensor - input high
P1246 Ladelufttemperaturfühler - Input niedrig	P1246 Charge air temperature sensor - input low
P1247 Umgebungsdruck - Plausibilitätsfehler	P1247 Ambient pressure - plausibility error
P1248 Zwangshochschaltung wegen zu hoher Motoröl- bzw. Motorkühlmitteltemperatur	P1248 Forced upshift due to excessive engine oil or engine coolant temperature
P1249 Kraftstoffvolumenregler (Bank 2) - Leitungsunterbrechung	P1249 Fuel volume control valve (bank 2) - open circuit
P1250 Drucksensor Saugrohr - Druck zu hoch	P1250 Intake manifold pressure sensor - pressure too high
P1251 Ladedrucksteller - Input hoch	P1251 Boost pressure actuator - input high
P1252 Ladedrucksteller - Input niedrig	P1252 Boost pressure actuator - input low
P1253 Ladedrucksteller - Leitungsunterbrechung	P1253 Boost pressure actuator - open circuit
P1254 Ladedrucksteller Endstufe - Übertemperatur	P1254 Boost pressure actuator output stage - overtemperature
P1255 Drucksensor Saugrohr - Druck zu niedrig	P1255 Intake manifold pressure sensor - pressure too low
P1256 Ladedrucksteller (Bank 2) - Input hoch	P1256 Boost pressure actuator (bank 2) - input high
P1257 Ladedrucksteller (Bank 2) - Input niedrig	P1257 Boost pressure actuator (bank 2) - input low
P1258 Ladedrucksteller (Bank 2) - Leitungsunterbrechung	P1258 Boost pressure actuator (bank 2) - open circuit
P1259 Ladedrucksteller Endstufe (Bank 2) - Übertemperatur	P1259 Boost pressure actuator output stage (bank 2) - overtemperature
P1261 Luftmassen- oder Luftmengendurchsatz - zu groß im Leerlauf	P1261 Air mass or air flow rate - too high at idle
P1262 Luftmassen- oder Luftmengendurchsatz - zu groß in Volllast	P1262 Air mass or air flow rate - too high at full load
P1263 Luftmassen- oder Luftmengendurchsatz (Bank 2) - zu groß im Leerlauf	P1263 Air mass or air flow rate (bank 2) - too high at idle
